Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2025-01-02,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-65.49,
2025-01-02,Madsen Pittsburgh Castle Shanno Pa,Fast Food,Fidelity Rewards Visa *4913,Madsen Pittsburgh Castle Shanno Pa,,-12.20,
2025-01-02,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-104.82,
2024-12-30,Giant Eagle,Groceries,Fidelity Rewards Visa *4913,Giant Eagle,,-52.80,
2024-12-30,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,-41.67,
2024-12-30,Apple,Entertainment & Recreation,Fidelity Rewards Visa *4913,Apple,,-10.99,
2024-12-30,Party City,Shopping,Fidelity Rewards Visa *4913,Party City,,-60.56,
2024-12-30,Wall Street Journal,Entertainment & Recreation,Fidelity Rewards Visa *4913,Wall Street Journal,,-4.28,
2024-12-30,CVS,Medical,Fidelity Rewards Visa *4913,CVS,,-11.97,
2024-12-30,Center Independent Oi Pittsburgh Pa,Auto Maintenance,Fidelity Rewards Visa *4913,Center Independent Oi Pittsburgh Pa,,-0.75,
2024-12-30,Fine Wine & Good Spirits,Restaurants & Bars,Fidelity Rewards Visa *4913,Fine Wine & Good Spirits,,-111.42,
2024-12-30,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-13.59,
2024-12-10,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-37.83,
2024-12-10,Athleta,Clothing,Fidelity Rewards Visa *4913,Athleta,,-65.40,
2024-12-10,Poshmark,Clothing,Fidelity Rewards Visa *4913,Poshmark,,-38.97,
2024-12-10,Poshmark,Clothing,Fidelity Rewards Visa *4913,Poshmark,,-17.95,
2024-12-09,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-14.81,
2024-12-09,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-36.97,
2024-12-09,Keystone Oaks Paren Pittsburgh Pa,Gas & Electric,Fidelity Rewards Visa *4913,Keystone Oaks Paren Pittsburgh Pa,,-75.00,
2024-12-09,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-22.23,
2024-12-09,Salems Market & Pittsburgh Pa,Groceries,Fidelity Rewards Visa *4913,Salems Market & Pittsburgh Pa,,-11.76,
2024-12-09,Sunoco,Gas,Fidelity Rewards Visa *4913,Sunoco,,-5.34,
2024-12-09,Sunoco,Gas,Fidelity Rewards Visa *4913,Sunoco,,-42.67,
2024-12-09,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-11.96,
2024-12-09,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-48.40,
2024-12-06,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-47.08,
2024-12-05,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-38.95,
2024-12-05,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-40.47,
2024-12-05,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-41.01,
2024-12-05,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-38.95,
2024-12-05,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-38.95,
2024-12-05,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,-210.94,
2024-12-05,Double Shift Thedouble Nc,Uncategorized,Fidelity Rewards Visa *4913,Double Shift Thedouble Nc,,-55.20,
2024-12-05,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-156.62,
2024-12-04,Custom Ink,Shopping,Fidelity Rewards Visa *4913,Custom Ink,,-73.83,
2024-12-04,Online Passport Fees,Financial Fees,Fidelity Rewards Visa *4913,Online Passport Fees,,-130.00,
2024-12-04,See's Candies,Shopping,Fidelity Rewards Visa *4913,See's Candies,,-37.39,
2024-12-04,Target,Shopping,Fidelity Rewards Visa *4913,Target,,-44.69,
2024-12-04,Act County of Alleghen,Gas & Electric,Fidelity Rewards Visa *4913,Act County of Alleghen,,-30.00,
2024-12-03,Just Thrive Justthrivehea Il,Personal Care,Fidelity Rewards Visa *4913,Just Thrive Justthrivehea Il,,-31.50,
2024-12-03,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-30.73,
2024-11-29,Chartiers Valley Bridgeville Pa,Gas,Fidelity Rewards Visa *4913,Chartiers Valley Bridgeville Pa,,-10.48,
2024-11-29,Trader Joe's,Groceries,Fidelity Rewards Visa *4913,Trader Joe's,,-184.17,
2024-11-29,Fine Wine & Good Spirits,Restaurants & Bars,Fidelity Rewards Visa *4913,Fine Wine & Good Spirits,,-13.90,
2024-11-29,Herbertclar,Education,Fidelity Rewards Visa *4913,Herbertclar,,-20.91,
2024-11-29,Chartiers Valley Bridgeville Pa,Gas,Fidelity Rewards Visa *4913,Chartiers Valley Bridgeville Pa,,-42.57,
2024-11-29,Condado Tacos L Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Condado Tacos L Pittsburgh Pa,,-15.79,
2024-11-29,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-43.10,
2024-11-29,Apple,Entertainment & Recreation,Fidelity Rewards Visa *4913,Apple,,-10.99,
2024-11-29,TJ Maxx,Clothing,Fidelity Rewards Visa *4913,TJ Maxx,,-55.58,
2024-11-29,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,32.06,
2024-11-27,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-16.59,
2024-11-27,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-209.56,
2024-11-27,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-90.22,
